timestamp,latency_ms,down_mbps,up_mbps,jitter_ms,packet_loss_pct,rssi_dbm
1730300000000,34.43525827169914,136.31023584342043,62.07638107376368,8,0.2614470663940884,-57
1730300002000,15.089880378115677,212.05457754545705,55.67198005084249,8,0.813930056127657,-49
1730300004000,32.677148226669296,191.6845064403278,56.9347303114756,3,1.3641256779094693,-56
1730300006000,35.81839955628718,251.77669158851234,28.83810565491268,9,0.604430529592727,-49
1730300008000,34.28839018945411,202.27552635577973,64.0757181885391,9,0.7123844631468069,-45
1730300010000,31.262454524958766,108.2695261046848,68.99213508915885,4,0.5144321176336348,-50
1730300012000,38.26805602211455,122.55347707243212,56.91986622585223,8,0.5131000559876326,-46
1730300014000,49.98295859936405,178.94455326853623,60.081891520390116,4,0.7148514600846412,-51
1730300016000,28.768939948744915,191.0575010973541,55.53069053070017,7,0.4126354373777377,-49
1730300018000,17.984997131123023,164.34032771064315,61.58049761155594,10,0.7646067041440083,-46
1730300020000,34.633552474667866,194.40429191356367,63.310882752396566,4,1.2779595854824302,-57
1730300022000,37.95632462447959,202.9964711599289,55.306919536941436,6,0.0,-55
1730300024000,26.03730809921718,158.17374745502136,53.235311983345746,3,0.569353317170439,-48
1730300026000,44.997679530075914,124.30233619211862,61.12387856928379,8,0.5202673194177515,-53
1730300028000,20.049440429448815,157.8618068865221,60.131449666319284,6,0.9605090080338226,-47
1730300030000,23.1925712673319,128.8076845106106,51.93247477502536,5,1.3499627332009074,-57
1730300032000,40.87667441363314,166.1363203569199,67.32491528130448,12,0.6607921496215476,-51
1730300034000,27.715042920596066,234.94571354121575,60.93987473885959,12,0.22591704415262043,-57
1730300036000,36.60733864926547,201.27709318718502,58.8203485323647,4,0.0809999808095665,-56
1730300038000,33.69170903419594,178.5906805065984,58.02848334875027,12,0.24060832614140693,-53
1730300040000,39.14314045889617,230.00646627212245,71.42047248722328,10,0.0,-60
1730300042000,17.125048568105537,189.9883195130577,59.17790908495894,7,0.7385180396414117,-48
1730300044000,30.023830733487433,190.3526455600524,70.51962036784894,10,0.885584507321614,-51
1730300046000,30.207914672348064,161.47284153957392,64.58903578189717,5,0.0,-47
1730300048000,13.636353923710697,113.07840301562865,54.65589299732121,7,0.593989572158712,-58
1730300050000,23.577811284106772,200.65635879888939,54.29663687915954,9,0.25602482515166924,-53
1730300052000,37.70084070490686,179.65478823340575,57.11317113080418,10,0.612316072927843,-48
1730300054000,44.831725613812004,149.999259369468,57.017623624834485,9,0.9518929005482188,-50
